Episode,Duration,Reward,Confidence,Success_Rate,Exploration_Rate,Q_Value
1,17,17.0,0.010433914578136276,0.0,0.9,-0.04361792653799057
2,38,38.0,0.0019675955960625096,0.0,0.882128061862406,-0.039328858893560734
3,10,10.0,0.004350547678768635,0.0,0.8435260347795444,-0.04800592213869095
4,15,15.0,-0.0016582424441973368,0.0,0.8336686960622136,-0.056664707511663436
5,17,17.0,0.0028733190368203554,0.0,0.8191118053305656,-0.044009270256056505
6,27,27.0,-0.010897070721343712,0.0,0.8029406069708467,-0.058595134842175024
7,10,10.0,0.04594849143177271,0.0,0.7779529008610715,-0.016891615651547908
8,21,21.0,0.12771737566661268,0.0,0.7689101246955176,0.04227241035550833
9,10,10.0,0.2648969754576683,0.0,0.7502842678131838,0.14195087999105455
10,30,30.0,0.32935515940189364,0.0,0.7415851969274123,0.19481019030014673
11,25,25.0,0.4701826274394989,0.0,0.7161310010588388,0.30552083551883696
12,13,13.0,0.7811064903552716,0.0,0.6956363047412232,0.5996937064024118
13,32,32.0,0.9105596262961626,0.0,0.6852294990880292,0.7393638072535396
14,9,9.0,1.100057688024309,0.0,0.6603217941617987,0.9440009991327921
15,27,27.0,1.0428869017848261,0.0,0.6534941514777186,0.9015338597474275
16,26,26.0,1.1618464222321143,0.0,0.6334660983265392,1.0533383534504817
17,23,23.0,1.2286554004835046,0.0,0.6148082818955701,1.1326265412828196
18,13,13.0,1.49577246262477,0.0,0.5988012474637083,1.4240898810900176
19,14,14.0,1.558742276259831,0.0,0.5899552952106447,1.4261871406010218
20,25,25.0,1.4285825729370116,0.0,0.5805882779979346,1.341575541496277
21,10,10.0,1.696381151676178,0.0,0.5642637928591718,1.6453158140182496
22,11,11.0,1.6379207372665405,0.0,0.5578755054255019,1.5793669874017888
23,25,25.0,1.6853067588806152,0.0,0.5509400080402864,1.623963975906372
24,21,21.0,1.7188230809711276,0.0,0.5355277042714927,1.6523221958251226
25,12,12.0,1.8323112328847249,0.0,0.5229484273611847,1.7644306818644206
26,31,31.0,1.8671158282987532,0.0,0.5159071426099949,1.7928866224904214
27,13,13.0,2.0030623032496524,0.0,0.4981985604365912,1.9236920521809504
28,13,13.0,2.0475768401072574,0.0,0.4909741908058059,1.965705917431758
29,8,8.0,2.133654475212097,0.0,0.4838662684846938,2.0681555569171906
30,11,11.0,2.119255391034213,0.0,0.47954922698264296,2.068554628979076
31,11,11.0,2.1956847364252265,0.0,0.4736833454649598,2.1113307909532026
32,11,11.0,2.6415830742229116,0.0,0.4678975678418203,2.5457896536046807
33,11,11.0,2.642161152579568,0.0,0.46219080022240816,2.542382847179066
34,11,11.0,2.305293386632746,0.0,0.45656196365397145,2.2025039846246894
35,17,17.0,2.3670939557692585,0.0,0.45100999391782953,2.2705111503601074
36,11,11.0,2.442294120788574,0.0,0.4425784341485867,2.334138588471846
37,13,13.0,2.495853845889752,0.0,0.43721742210047,2.3925943007835975
38,9,9.0,2.5489653216467962,0.0,0.43097598798696307,2.4566295411851673
39,12,12.0,2.8589431842168174,0.0,0.42671402660516156,2.7438458998998008
40,14,14.0,2.8952617985861644,0.0,0.42110548542469045,2.7735441071646556
41,10,10.0,2.610821509361267,0.0,0.4146676349201443,2.513293671607971
42,10,10.0,2.648934173583984,0.0,0.4101376608057418,2.547548532485962
